agentCode,pnrReference,passengerName,passengerType,documentNumber,documentType,transactionCode,transactionType,reasonForIssuanceCode,paymentDate,alternateFormOfPaymentCode,approvalCode,invoiceNumber,grossAmountInPaymentCurrency,paymentCurrency,ccNumber,ccBin,ccFourLastDigits,airline,company,orderId,paymentId,customerProfileId,saleChannelType,officeId,additionalReferenceKey1,additionalReferenceKey2,additionalReferenceKey3,serviceType,totalInstallmentCount,city,country,periodFrom,periodTo,reportingSystemIdentifier,grossAmountInSaleCurrency,saleCurrency,originalFirstIssuanceDate,amopCode
20300744,QNR1Y1,chakib,ADT,2124567891230,Ticket,TKTT,SALE,,2025-01-25,MSCC,800000,AX232220609938,100,USD,164359XXXXX6420,100000,6000,,,,123456,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,101,USD,,EXTAAP
20300744,QNR1Y2,chakib,ADT,2124567891231,Ticket,TKTT,SALE,,2025-01-25,MSCC,800001,AX232220609938,100,USD,882644XXXXX1660,100001,6001,,,,123456,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,100,USD,,EXTAAP
20300744,QNR1Y3,chakib,ADT,2124567891232,Ticket,TKTT,SALE,,2025-01-25,MSCC,800002,AX232220609938,100,USD,493224XXXXX1904,100002,6002,,,,123456,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,99,USD,,EXTASO
20300744,QNR1Y4,chakib,ADT,2124567891233,Ticket,TKTT,SALE,,2025-01-25,MSCC,800003,AX232220609938,100,USD,518473XXXXX2522,100003,6003,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,98,USD,,EXTASO
20300744,QNR1Y5,chakib,ADT,2124567891234,Ticket,TKTT,SALE,,2025-01-25,CCAX,800004,AX232220609938,100,USD,936229XXXXX9784,100004,6004,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,99,USD,,EXTASO
20300744,QNR1Y6,chakib,ADT,2124567891235,Ticket,TKTT,SALE,,2025-01-25,CCAX,800005,AX232220609938,100,USD,537453XXXXX5377,100005,6005,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,100.5,USD,,EXTASO
20300744,QNR1Y7,chakib,ADT,2124567891236,Ticket,TKTT,SALE,,2025-01-25,CCAX,800006,AX232220609938,100,USD,284292XXXXX8328,100006,6006,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,99,USD,,EXTASO
20300744,QNR1Y8,chakib,ADT,2124567891237,Ticket,TKTT,SALE,,2025-01-25,CCAX,800007,AX232220609938,100,USD,339325XXXXX6327,100007,6007,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,99,USD,,EXTASO
20300744,QNR1Y9,chakib,ADT,2124567891238,Ticket,TKTT,SALE,,2025-01-25,CCAX,800008,AX232220609938,100,USD,736764XXXXX9649,100008,6008,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,100,USD,,EXTASO
20300744,QNR1Y10,chakib,ADT,2124567891239,Ticket,TKTT,SALE,,2025-01-25,CCAX,800009,AX232220609938,100,USD,761679XXXXX4603,100009,6009,,,,XXYY123,,INDIRECT,21300744,,,,PASSENGER,,TUN,TU,2023-05-13,2024-05-13,,99,USD,,EXTASO
